,max_depth,n_estimators,eta,min_child,subsample,gamma,lambda,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae
72,3,3,0.001,0,1,100,100,6.4209,0.19712,6.31252,0.34173
73,4,3,0.001,0,1,100,100,6.42086,0.19711,6.31214,0.34162
74,5,3,0.001,0,1,100,100,6.42084,0.19711,6.31206,0.34159
75,1,10,0.001,0,1,100,100,6.42081,0.19709,6.31185,0.34175
76,2,10,0.001,0,1,100,100,6.42027,0.19695,6.30964,0.34169
77,3,10,0.001,0,1,100,100,6.42012,0.19691,6.30832,0.34115
78,4,10,0.001,0,1,100,100,6.41998,0.19688,6.30753,0.34119
79,5,10,0.001,0,1,100,100,6.41992,0.19686,6.30707,0.34097
80,1,3,0.3,100,1,0,0,6.3941,0.18953,6.32699,0.34123
81,2,3,0.3,100,1,0,0,6.37674,0.18609,6.3951,0.3495
82,3,3,0.3,100,1,0,0,6.37086,0.18348,6.492,0.34729
83,4,3,0.3,100,1,0,0,6.36671,0.18228,6.56666,0.36931
84,5,3,0.3,100,1,0,0,6.36318,0.18152,6.71579,0.36477
85,1,10,0.3,100,1,0,0,6.37357,0.18451,6.37172,0.33265
86,2,10,0.3,100,1,0,0,6.36325,0.18218,6.53754,0.3393
87,3,10,0.3,100,1,0,0,6.35566,0.17994,6.73636,0.34369
88,4,10,0.3,100,1,0,0,6.34892,0.17936,6.9786,0.38101
89,5,10,0.3,100,1,0,0,6.34154,0.17659,7.26522,0.36186
90,1,3,0.001,100,1,0,0,6.42111,0.19718,6.31374,0.34192
91,2,3,0.001,100,1,0,0,6.42094,0.19713,6.31303,0.34194
92,3,3,0.001,100,1,0,0,6.4209,0.19712,6.31252,0.34176
93,4,3,0.001,100,1,0,0,6.42086,0.19711,6.31216,0.34165
94,5,3,0.001,100,1,0,0,6.42084,0.19711,6.31191,0.34149
95,1,10,0.001,100,1,0,0,6.42081,0.19709,6.31202,0.34177
96,2,10,0.001,100,1,0,0,6.42027,0.19695,6.30999,0.34193
97,3,10,0.001,100,1,0,0,6.42012,0.19691,6.30842,0.34124
98,4,10,0.001,100,1,0,0,6.41998,0.19688,6.30739,0.341
99,5,10,0.001,100,1,0,0,6.41992,0.19686,6.30686,0.34051
100,1,3,0.3,100,1,0,100,6.39411,0.18954,6.3177,0.34232
101,2,3,0.3,100,1,0,100,6.37674,0.18609,6.36286,0.34207
102,3,3,0.3,100,1,0,100,6.37087,0.18348,6.41768,0.35199
103,4,3,0.3,100,1,0,100,6.36677,0.18226,6.46324,0.34954
104,5,3,0.3,100,1,0,100,6.36332,0.1815,6.52138,0.36748
105,1,10,0.3,100,1,0,100,6.37357,0.18451,6.34838,0.33597
106,2,10,0.3,100,1,0,100,6.36324,0.1822,6.4703,0.35338
107,3,10,0.3,100,1,0,100,6.35625,0.18058,6.58602,0.34415
108,4,10,0.3,100,1,0,100,6.34838,0.17829,6.72769,0.35011
109,5,10,0.3,100,1,0,100,6.34205,0.17761,6.8797,0.38259
110,1,3,0.001,100,1,0,100,6.42111,0.19718,6.3137,0.34191
111,2,3,0.001,100,1,0,100,6.42094,0.19713,6.31296,0.34191
112,3,3,0.001,100,1,0,100,6.4209,0.19712,6.3125,0.34173
113,4,3,0.001,100,1,0,100,6.42086,0.19711,6.31222,0.34164
114,5,3,0.001,100,1,0,100,6.42084,0.19711,6.31216,0.34158
115,1,10,0.001,100,1,0,100,6.42081,0.19709,6.31185,0.34175
116,2,10,0.001,100,1,0,100,6.42027,0.19695,6.30968,0.34168
117,3,10,0.001,100,1,0,100,6.42012,0.19691,6.3083,0.3411
118,4,10,0.001,100,1,0,100,6.41998,0.19688,6.30762,0.34116
119,5,10,0.001,100,1,0,100,6.41992,0.19686,6.30738,0.34089
120,1,3,0.3,100,1,100,0,6.3941,0.18953,6.32699,0.34123
121,2,3,0.3,100,1,100,0,6.37674,0.18609,6.3951,0.3495
